listing_name,listing_url
4 bedroom semi-detached house for sale,https://www.rightmove.co.uk/properties/147251816#/?channel=RES_BUY
32 bedroom block of apartments for sale,https://www.rightmove.co.uk/properties/145772159#/?channel=RES_BUY
5 bedroom detached house for sale,https://www.rightmove.co.uk/properties/146516807#/?channel=RES_BUY
5 bedroom detached house for sale,https://www.rightmove.co.uk/properties/143497022#/?channel=RES_BUY
6 bedroom detached house for sale,https://www.rightmove.co.uk/properties/146243180#/?channel=RES_BUY
5 bedroom detached house for sale,https://www.rightmove.co.uk/properties/147608723#/?channel=RES_BUY
5 bedroom detached house for sale,https://www.rightmove.co.uk/properties/126129185#/?channel=RES_BUY
5 bedroom detached house for sale,https://www.rightmove.co.uk/properties/146939570#/?channel=RES_BUY
Land for sale,https://www.rightmove.co.uk/properties/145289885#/?channel=COM_BUY
6 bedroom detached house for sale,https://www.rightmove.co.uk/properties/145918478#/?channel=RES_BUY
5 bedroom detached house for sale,https://www.rightmove.co.uk/properties/142775360#/?channel=RES_BUY
7 bedroom detached house for sale,https://www.rightmove.co.uk/properties/131333678#/?channel=RES_BUY
5 bedroom detached house for sale,https://www.rightmove.co.uk/properties/148568891#/?channel=RES_BUY
5 bedroom detached house for sale,https://www.rightmove.co.uk/properties/145186526#/?channel=RES_BUY
5 bedroom detached house for sale,https://www.rightmove.co.uk/properties/147738791#/?channel=RES_BUY
6 bedroom detached house for sale,https://www.rightmove.co.uk/properties/148058129#/?channel=RES_BUY
6 bedroom detached house for sale,https://www.rightmove.co.uk/properties/148534520#/?channel=RES_BUY
5 bedroom detached house for sale,https://www.rightmove.co.uk/properties/147972614#/?channel=RES_BUY
5 bedroom detached house for sale,https://www.rightmove.co.uk/properties/145370477#/?channel=RES_BUY
5 bedroom detached house for sale,https://www.rightmove.co.uk/properties/145960703#/?channel=RES_BUY
5 bedroom detached house for sale,https://www.rightmove.co.uk/properties/146606207#/?channel=RES_BUY
16 bedroom house for sale,https://www.rightmove.co.uk/properties/148537637#/?channel=RES_BUY
5 bedroom detached house for sale,https://www.rightmove.co.uk/properties/146651501#/?channel=RES_BUY
5 bedroom detached house for sale,https://www.rightmove.co.uk/properties/147200765#/?channel=RES_BUY
4 bedroom detached house for sale,https://www.rightmove.co.uk/properties/147688460#/?channel=RES_BUY
